analysis_id,5x20yu5b1e484gk
pvalue,0.1897089
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Late adult
parameter_id,MGP_MLN_010_001
gene_symbol,AU040320
mouse_strain,C57BL
gene_accession_id,MGI:2140475
