parameter_name,Triglycerides
pvalue,0.6291565
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Lpgat1
analysis_id,2h61ng2eh7xop43
gene_accession_id,MGI:2446186
