parameter_name,Liver weight
pvalue,0.5042073
parameter_id,UCD_OWT_008_001
analysis_id,cu76015g912kl7h
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
mouse_strain,C57BL
