gene_symbol,Morn5
parameter_id,IMPC_EYE_027_001
analysis_id,wlq3vkun1023567
pvalue,0.9006616
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Persistence of hyaloid vascular system
gene_accession_id,MGI:1922745
