gene_symbol,Casq1
mouse_strain,C57BL
gene_accession_id,MGI:1309468
analysis_id,479377s770aclmk
pvalue,0.160133
mouse_life_stage,Early adult
parameter_name,PP4 + pulse startle magnitude
parameter_id,ESLIM_011_001_010
