parameter_name,Percent time in dark
pvalue,0.9623454
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
mouse_strain,C57BL
analysis_id,82r13us9d57rluk
gene_symbol,Dmap1
parameter_id,JAX_LDT_008_001
