analysis_id,0d4knc4844evx34
parameter_name,Others
pvalue,0.3837062
parameter_id,IMPC_IMM_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
mouse_strain,C57BL
gene_symbol,Arpc5l
