gene_symbol,Steap3
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
analysis_id,w469vs3060f7o31
parameter_name,Monocyte percentage
pvalue,0.09143117
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
