gene_symbol,Cd52
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
analysis_id,924o8pba98b83uo
parameter_id,MGP_IMM_006_001
pvalue,0.704326
