parameter_id,MGP_BMI_006_001
analysis_id,w73sulm678ukzv0
gene_symbol,Inpp1
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.05967011
gene_accession_id,MGI:104848
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
