pvalue,8.758627e-05
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:1336200
gene_symbol,Hpca
parameter_id,HRWLLA_GRS_010_001
analysis_id,8u6462b15z8vgc5
