analysis_id,7wux62j86ka4t56
pvalue,0.7369302
parameter_id,IMPC_CSD_051_002
parameter_name,Hindlimb nail - number
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Pum1
gene_accession_id,MGI:1931749
