parameter_name,Ulna
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:99501
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,om1j8q035t86lzq
gene_symbol,Fgb
pvalue,0.3485289
