parameter_name,Average duration
analysis_id,27b3p6jt8k82e0l
parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
mouse_strain,C57BL
gene_symbol,Zmynd19
pvalue,0.4742473
