parameter_id,MGP_CSD_066_001
analysis_id,vk2l38c63a09082
mouse_life_stage,Early adult
parameter_name,Snout morphology
gene_symbol,F2
pvalue,0.5416
mouse_strain,C57BL
gene_accession_id,MGI:88380
