analysis_id,9yp647k35128asf
parameter_name,Fructosamine
gene_accession_id,MGI:1915087
pvalue,0.6543563
parameter_id,IMPC_CBC_020_001
gene_symbol,Tiprl
mouse_life_stage,E12.5
mouse_strain,C57BL
