analysis_id,0ovzkv8t8b4vpv9
parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
pvalue,0.5155788
mouse_strain,C57BL
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_name,Potassium
