parameter_name,Haemoglobin
mouse_strain,C57BL
gene_symbol,Bmp7
analysis_id,uj9tf95tjd54s16
pvalue,0.8576074
parameter_id,ESLIM_016_001_003
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
