analysis_id,kfxc06163276517
gene_accession_id,MGI:1328306
mouse_strain,C57BL
gene_symbol,Orc2
mouse_life_stage,E9.5
pvalue,0.4710218
parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
