gene_symbol,Nipal3
pvalue,0.7038235
mouse_strain,129SV
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_IMM_010_001
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
analysis_id,6023b4ki4ct587r
