analysis_id,t83unmub411f3rm
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_name,Bone Area
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
pvalue,0.8819491
gene_symbol,Inpp1
