analysis_id,e67032v6o7qn81y
pvalue,0.120321
gene_symbol,Ahctf1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
