analysis_id,p1d9ogs0l94pqg0
parameter_id,HRWLLA_OFD_007_001
gene_symbol,Cds2
pvalue,0.5005876
parameter_name,Whole arena resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1332236
