analysis_id,1rf53j9q9m86285
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
parameter_id,IMPC_GRS_009_001
mouse_strain,C57BL
pvalue,0.3399826
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_symbol,Mapkap1
