analysis_id,235r575082plgs1
pvalue,0.4602718
gene_accession_id,MGI:109356
parameter_id,MGP_IMM_110_001
gene_symbol,Snap23
parameter_name,Transitional 1 B cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
