parameter_name,Fat/Body weight
analysis_id,1apcc7li3uot41o
gene_symbol,Stk35
mouse_strain,C57BL
pvalue,0.1480922
parameter_id,IMPC_DXA_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
