analysis_id,1i2na48u985s1fc
parameter_id,MGP_MLN_014_001
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.07085586
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Lpgat1
