gene_symbol,Pglyrp3
pvalue,0.336149
analysis_id,0mk51sd92o30r73
parameter_id,IMPC_CBC_058_001
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Cholesterol ratio
