parameter_name,Periphery average speed
mouse_life_stage,Early adult
analysis_id,ys8i91z61ip6htg
gene_accession_id,MGI:1916222
pvalue,0.257976
mouse_strain,C57BL
parameter_id,IMPC_OFD_013_001
gene_symbol,Tatdn3
