analysis_id,1j63bizsk0jud6o
gene_symbol,Hpca
parameter_name,B2B Cells
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
pvalue,0.152552
parameter_id,IMPC_IMM_065_001
mouse_strain,C57BL
