analysis_id,o251w6u65m1mg2t
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
mouse_life_stage,Early adult
gene_symbol,Golm2
gene_accession_id,MGI:2443129
pvalue,0.8953819
mouse_strain,C59BL
