parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
pvalue,0.6046586
gene_accession_id,MGI:2685277
parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
gene_symbol,Zyg11b
analysis_id,u706oa746532qno
