gene_symbol,Kdm5b
mouse_life_stage,Early adult
parameter_id,MGP_CSD_067_001
pvalue,0.96477
mouse_strain,C57BL
gene_accession_id,MGI:1922855
analysis_id,1n1k49o6d5q80o1
parameter_name,Snout size
