parameter_name,Hindlimbs - shape
analysis_id,4k8y20pqg9foq2s
mouse_life_stage,Early adult
pvalue,0.6892076
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:3650254
gene_symbol,Zfp683
mouse_strain,C57BL
