parameter_name,Neutrophils
gene_accession_id,MGI:1336200
gene_symbol,Hpca
analysis_id,fwz2c69q392a88f
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_050_001
pvalue,0.2224673
