analysis_id,7g97j5hwel2kvw9
parameter_id,IMPC_DXA_003_001
pvalue,0.08075769
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_name,Lean mass
gene_symbol,AU040320
mouse_life_stage,Early adult
