parameter_name,Mean corpuscular hemoglobin
pvalue,0.1260872
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
gene_symbol,Arnt
analysis_id,02j84b7s8575g9v
mouse_strain,C57BL
parameter_id,IMPC_HEM_006_001
