gene_symbol,Rab22a
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
analysis_id,gj91ly787d8792h
parameter_id,IMPC_IMM_004_002
gene_accession_id,MGI:105072
pvalue,0.6123724
mouse_life_stage,Early adult
mouse_strain,C57BL
