parameter_name,Zygomatic bone
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
pvalue,0.2895262
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,4vfyari21pv562i
parameter_id,IMPC_XRY_002_001
