analysis_id,2tw4cc99b7zvxc4
pvalue,0.2696385
gene_symbol,Slc17a9
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
parameter_name,Startle response
mouse_strain,C57BL
