parameter_name,Follicular B Cells (CD21/35+)
gene_symbol,Col6a3
mouse_strain,C57BL
pvalue,0.7623202
gene_accession_id,MGI:88461
analysis_id,ydag42xco46o435
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
