gene_symbol,Tox
parameter_id,HRWLLA_OFD_007_001
mouse_strain,C57BL
gene_accession_id,MGI:2181659
parameter_name,Whole arena resting time
analysis_id,lh5udzg8h1fzh20
pvalue,0.395635
mouse_life_stage,Early adult
