gene_symbol,Ap5s1
parameter_id,MGP_MLN_010_001
analysis_id,9e6mr99o11r94vh
pvalue,0.3753342
gene_accession_id,MGI:1916846
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of Treg
