parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
analysis_id,68s68h6d27i0wai
gene_symbol,Kdm4c
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.9389444
gene_accession_id,MGI:1924054
