analysis_id,62h9y3a47oay035
gene_accession_id,MGI:88174
pvalue,0.6756109
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Bmi1
parameter_id,M-G-P_016_001_006
parameter_name,Mean-corpuscular-haemoglobin
