parameter_name,Body length
analysis_id,nm98b4h5957dwbg
gene_accession_id,MGI:1922082
mouse_strain,C57BL
gene_symbol,Slc45a3
mouse_life_stage,Early adult
pvalue,0.3575107
parameter_id,IMPC_DXA_006_001
