analysis_id,iqlddhl0d54791a
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_007_001
mouse_strain,C57BL
gene_accession_id,MGI:109356
gene_symbol,Snap23
pvalue,0.5730944
parameter_name,Cornea
