parameter_name,NKT cells (panel A)
pvalue,0.2291067
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_001
gene_symbol,Trdmt1
analysis_id,a1w04gvrwqmup64
