analysis_id,d27tq6m52jyl24i
gene_symbol,Inpp1
pvalue,0.3767174
parameter_name,Hindlimbs - shape
gene_accession_id,MGI:104848
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
mouse_strain,C57BL
