analysis_id,0f5g1a8d03075qt
gene_symbol,Rap2b
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7303888
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:1921262
parameter_id,IMPC_CSD_008_001
