gene_symbol,Cdin1
pvalue,0.5931955
analysis_id,6bj64no15787128
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Number of rears - total
gene_accession_id,MGI:3026886
parameter_id,IMPC_OFD_021_001
