gene_symbol,Atf3
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
parameter_id,MGP_IMM_066_001
mouse_strain,C57BL
pvalue,0.9184193
analysis_id,mu4544sy2so8560
parameter_name,CD11b-high cDC - % of cDC
