gene_symbol,Morn5
mouse_strain,C57BL
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
pvalue,1.344677
parameter_id,MGP_MLN_058_001
analysis_id,dix9h8drgor432h
parameter_name,Plasmacytoid DC - % of DC
