parameter_name,Femur
pvalue,0.4299586
mouse_strain,C57BL
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_024_001
analysis_id,3g454u0n5za1u88
