parameter_name,ST
pvalue,0.2649174
parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:2181659
gene_symbol,Tox
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,s39o4ld18j6g47l
