parameter_name,Neutrophil differential count
gene_symbol,Steap3
gene_accession_id,MGI:1915678
analysis_id,1w278x12f759kv7
pvalue,0.5596972
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_029_001
