gene_symbol,Zmynd19
mouse_strain,C57BL
gene_accession_id,MGI:1914437
pvalue,0.4038549
mouse_life_stage,Early adult
parameter_name,Cleft palate
analysis_id,269en1nello455q
parameter_id,IMPC_GEP_076_001
