analysis_id,652o265b9mz91dv
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.7853271
parameter_id,MGP_MLN_013_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
mouse_strain,C57BL
gene_symbol,Bcs1l
