gene_symbol,Zmynd8
mouse_strain,129SV
analysis_id,e5fl72di616f671
parameter_id,MGP_IMM_070_001
pvalue,0.1002904
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
