analysis_id,pkzxxnd2lk4lzfr
gene_symbol,Alkbh3
pvalue,0.882299
mouse_life_stage,Early adult
parameter_name,Lens
mouse_strain,C57BL
gene_accession_id,MGI:1916363
parameter_id,IMPC_EYE_016_001
