parameter_id,IMPC_ABR_012_001
pvalue,0.9977562
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Mov10
parameter_name,30kHz-evoked ABR Threshold
gene_accession_id,MGI:97054
analysis_id,18340b9r971n638
