analysis_id,mt0lb566322wse6
mouse_strain,C57BL
pvalue,0.3678358
parameter_name,Glucose response AUC
gene_symbol,ORC2
parameter_id,ESLIM_004_001_701
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
