parameter_name,Total food intake
gene_symbol,Atrn
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
pvalue,0.6078322
mouse_strain,C57BL
parameter_id,IMPC_CAL_008_001
analysis_id,8q90nwsfcn1hwoe
