gene_symbol,Uckl1
mouse_strain,C57BL
gene_accession_id,MGI:1915806
analysis_id,n8k7uvgk3udbz52
parameter_id,MGP_BMI_019_001
pvalue,0.6567712
mouse_life_stage,Early adult
parameter_name,T cells - % of CD45+
